Jaar;Maand;Herkomststation;Aantal instappers totaal
2025;Januari;Abcoude;26.350
2025;Januari;Akkrum;9.500
2025;Januari;Alkmaar;202.600
2025;Januari;Alkmaar Noord;49.650
2025;Januari;Almelo;87.900
2025;Januari;Almelo de Riet;2.150
2025;Januari;Almere Buiten;63.750
2025;Januari;Almere Centrum;265.400
2025;Januari;Almere Muziekwijk;59.200
2025;Januari;Almere Oostvaarders;50.400
2025;Januari;Almere Parkwijk;27.950
2025;Januari;Almere Poort;75.000
2025;Januari;Alphen aan den Rijn;111.450
2025;Januari;Amersfoort Centraal;463.150
2025;Januari;Amersfoort Schothorst;68.100
2025;Januari;Amersfoort Vathorst;47.450
2025;Januari;Amsterdam Amstel;340.750
2025;Januari;Amsterdam Bijlmer ArenA;292.800
2025;Januari;Amsterdam Centraal;2.107.400
2025;Januari;Amsterdam Holendrecht;51.700
2025;Januari;Amsterdam Lelylaan;156.150
2025;Januari;Amsterdam Muiderpoort;160.500
2025;Januari;Amsterdam RAI;56.100
2025;Januari;Amsterdam Science Park;59.100
2025;Januari;Amsterdam Sloterdijk;647.900
2025;Januari;Amsterdam Zuid;785.100
2025;Januari;Anna Paulowna;23.400
2025;Januari;Apeldoorn;148.500
2025;Januari;Apeldoorn Osseveld;15.150
2025;Januari;Arnemuiden;5.600
2025;Januari;Arnhem Centraal;499.450
2025;Januari;Arnhem Presikhaaf;22.450
2025;Januari;Arnhem Velperpoort;27.600
2025;Januari;Arnhem Zuid;43.700
2025;Januari;Assen;98.050
2025;Januari;Baarn;53.600
2025;Januari;Barendrecht;77.000
2025;Januari;Beilen;24.300
2025;Januari;Belgi‘;63.150
2025;Januari;Bergen op Zoom;72.250
2025;Januari;Best;68.500
2025;Januari;Beverwijk;54.700
2025;Januari;Bilthoven;55.600
2025;Januari;Blerick;16.700
2025;Januari;Bloemendaal;19.650
2025;Januari;Bodegraven;40.500
2025;Januari;Borne;4.150
2025;Januari;Bovenkarspel Flora;7.350
2025;Januari;Bovenkarspel-Grootebroek;22.250
2025;Januari;Boxtel;65.700
2025;Januari;Breda;402.600
2025;Januari;Breda Prinsenbeek;17.350
2025;Januari;Breukelen;71.400
2025;Januari;Brummen;11.700
2025;Januari;Bunnik;28.100
2025;Januari;Bussum Zuid;51.050
2025;Januari;Capelle Schollevaar;26.500
2025;Januari;Castricum;82.950
2025;Januari;Culemborg;109.300
2025;Januari;De Vink;37.600
2025;Januari;Delft;468.950
2025;Januari;Delft Campus;55.100
2025;Januari;Den Dolder;23.000
2025;Januari;Den Haag Centraal;963.500
2025;Januari;Den Haag HS;385.050
2025;Januari;Den Haag Laan van NOI;197.700
2025;Januari;Den Haag Mariahoeve;29.200
2025;Januari;Den Haag Moerwijk;39.750
2025;Januari;Den Haag Ypenburg;25.800
2025;Januari;Den Helder;41.850
2025;Januari;Den Helder Zuid;19.900
2025;Januari;Deurne;51.150
2025;Januari;Deventer;236.100
2025;Januari;Deventer Colmschate;15.600
2025;Januari;Diemen;34.500
2025;Januari;Diemen Zuid;36.800
2025;Januari;Dieren;44.900
2025;Januari;Dordrecht;242.100
2025;Januari;Dordrecht Zuid;12.850
2025;Januari;Driebergen-Zeist;111.750
2025;Januari;Driehuis;12.200
2025;Januari;Dronten;37.500
2025;Januari;Duivendrecht;98.250
2025;Januari;Ede-Wageningen;206.800
2025;Januari;Eindhoven Centraal;756.950
2025;Januari;Eindhoven Strijp-S;50.450
2025;Januari;Elst;49.500
2025;Januari;Enkhuizen;22.250
2025;Januari;Enschede;114.550
2025;Januari;Enschede Kennispark;3.950
2025;Januari;Ermelo;30.250
2025;Januari;Etten-Leur;40.450
2025;Januari;Geldermalsen;74.600
2025;Januari;Geldrop;21.850
2025;Januari;Gilze-Rijen;34.800
2025;Januari;Goes;78.250
2025;Januari;Gouda;278.100
2025;Januari;Gouda Goverwelle;34.150
2025;Januari;Groningen;233.950
2025;Januari;Groningen Europapark;20.450
2025;Januari;Grou-Jirnsum;9.700
2025;Januari;Haarlem;423.050
2025;Januari;Haarlem Spaarnwoude;48.950
2025;Januari;Halfweg-Zwanenburg;33.350
2025;Januari;Harderwijk;62.850
2025;Januari;Haren;15.850
2025;Januari;Heemskerk;30.850
2025;Januari;Heemstede-Aerdenhout;76.000
2025;Januari;Heerenveen;67.700
2025;Januari;Heerhugowaard;77.150
2025;Januari;Heerlen;54.350
2025;Januari;Heeze;20.550
2025;Januari;Heiloo;58.350
2025;Januari;Helmond;89.400
2025;Januari;Helmond Brandevoort;24.650
2025;Januari;Helmond Brouwhuis;19.750
2025;Januari;Helmond 't Hout;16.200
2025;Januari;Hengelo;80.700
2025;Januari;Hillegom;26.500
2025;Januari;Hilversum;283.950
2025;Januari;Hilversum Media Park;50.700
2025;Januari;Hilversum Sportpark;74.100
2025;Januari;Hollandsche Rading;13.950
2025;Januari;Holten;14.600
2025;Januari;Hoofddorp;184.600
2025;Januari;Hoogeveen;48.850
2025;Januari;Hoogkarspel;21.400
2025;Januari;Hoorn;148.700
2025;Januari;Hoorn Kersenboogerd;51.250
2025;Januari;Horst-Sevenum;31.600
2025;Januari;Houten;91.150
2025;Januari;Houten Castellum;73.150
2025;Januari;Kampen Zuid;20.400
2025;Januari;Kapelle-Biezelinge;11.100
2025;Januari;Koog aan de Zaan;38.450
2025;Januari;Krabbendijke;10.400
2025;Januari;Krommenie-Assendelft;67.750
2025;Januari;Kruiningen-Yerseke;9.250
2025;Januari;Lage Zwaluwe;9.950
2025;Januari;Lansingerland-Zoetermeer;31.450
2025;Januari;Leeuwarden;106.250
2025;Januari;Leiden Centraal;833.950
2025;Januari;Leiden Lammenschans;63.050
2025;Januari;Lelystad Centrum;145.650
2025;Januari;Maarheeze;17.200
2025;Januari;Maarn;19.800
2025;Januari;Maarssen;52.350
2025;Januari;Maastricht;137.000
2025;Januari;Meppel;77.950
2025;Januari;Middelburg;51.650
2025;Januari;Naarden-Bussum;112.850
2025;Januari;Nieuw Vennep;36.650
2025;Januari;Nieuwerkerk a/d IJssel;41.150
2025;Januari;Nijkerk;39.750
2025;Januari;Nijmegen;502.650
2025;Januari;Nijmegen Dukenburg;31.200
2025;Januari;Nijmegen Goffert;19.150
2025;Januari;Nijmegen Lent;21.900
2025;Januari;Nunspeet;28.900
2025;Januari;Obdam;15.000
2025;Januari;Oisterwijk;30.500
2025;Januari;Olst;16.400
2025;Januari;Oosterbeek;7.800
2025;Januari;Oss;88.650
2025;Januari;Oss West;22.000
2025;Januari;Oudenbosch;14.800
2025;Januari;Overveen;23.000
2025;Januari;Purmerend;26.500
2025;Januari;Purmerend Overwhere;23.900
2025;Januari;Purmerend Weidevenne;18.100
2025;Januari;Putten;19.850
2025;Januari;Ravenstein;14.750
2025;Januari;Rheden;12.000
2025;Januari;Rhenen;20.850
2025;Januari;Rijssen;27.100
2025;Januari;Rijswijk;76.550
2025;Januari;Rilland-Bath;5.050
2025;Januari;Roermond;119.900
2025;Januari;Roosendaal;104.950
2025;Januari;Rosmalen;30.150
2025;Januari;Rotterdam Alexander;193.750
2025;Januari;Rotterdam Blaak;298.900
2025;Januari;Rotterdam Centraal;1.124.550
2025;Januari;Rotterdam Lombardijen;74.400
2025;Januari;Rotterdam Noord;29.600
2025;Januari;Rotterdam Stadion;9.400
2025;Januari;Rotterdam Zuid;43.950
2025;Januari;Santpoort Noord;8.850
2025;Januari;Santpoort Zuid;11.700
2025;Januari;Sassenheim;49.500
2025;Januari;Schagen;56.950
2025;Januari;Schiedam Centrum;256.000
2025;Januari;Schiphol Airport;974.950
2025;Januari;'s-Hertogenbosch;534.950
2025;Januari;'s-Hertogenbosch Oost;14.950
2025;Januari;Sittard;97.900
2025;Januari;Soest;2.950
2025;Januari;Soest Zuid;20.200
2025;Januari;Soestdijk;10.100
2025;Januari;Steenwijk;39.350
2025;Januari;'t Harde;15.050
2025;Januari;Tiel;38.250
2025;Januari;Tiel Passewaaij;16.050
2025;Januari;Tilburg;384.500
2025;Januari;Tilburg Reeshof;38.600
2025;Januari;Tilburg Universiteit;67.950
2025;Januari;Twello;14.900
2025;Januari;Uitgeest;46.500
2025;Januari;Utrecht Centraal;2.389.600
2025;Januari;Utrecht Leidsche Rijn;61.000
2025;Januari;Utrecht Lunetten;48.550
2025;Januari;Utrecht Overvecht;98.350
2025;Januari;Utrecht Terwijde;57.150
2025;Januari;Utrecht Vaartsche Rijn;116.550
2025;Januari;Utrecht Zuilen;37.550
2025;Januari;Veenendaal Centrum;28.400
2025;Januari;Veenendaal West;17.400
2025;Januari;Veenendaal-De Klomp;49.500
2025;Januari;Velp;19.950
2025;Januari;Venlo;43.200
2025;Januari;Vleuten;59.800
2025;Januari;Vlissingen;23.600
2025;Januari;Vlissingen Souburg;11.200
2025;Januari;Voorburg;17.400
2025;Januari;Voorhout;38.600
2025;Januari;Voorschoten;37.600
2025;Januari;Vught;22.650
2025;Januari;Weert;84.750
2025;Januari;Weesp;126.800
2025;Januari;Wezep;12.550
2025;Januari;Wierden;12.300
2025;Januari;Wijchen;52.200
2025;Januari;Wijhe;14.000
2025;Januari;Woerden;159.850
2025;Januari;Wolfheze;7.600
2025;Januari;Wolvega;18.450
2025;Januari;Wormerveer;51.350
2025;Januari;Zaandam;276.950
2025;Januari;Zaandam Kogerveld;17.600
2025;Januari;Zaandijk Zaanse Schans;49.350
2025;Januari;Zaltbommel;45.400
2025;Januari;Zandvoort aan Zee;48.300
2025;Januari;Zevenbergen;13.400
2025;Januari;Zoetermeer;32.750
2025;Januari;Zoetermeer Oost;20.700
2025;Januari;Zutphen;138.700
2025;Januari;Zwijndrecht;60.050
2025;Januari;Zwolle;448.700
;;;
"Toegepaste filters: 
 [Parameter MAAND Fields] is 'Kalender'[Maandnaam]
 [Selected Measure Fields] bevat niet gemiddeld
 [Pagina Filter Totaal vs Gemiddeld vs YTD] is Totaal aantal
 [Pagina Filter] is Aantal instappers totaal of Aantal instappers year-to-date
 [ELEMENTNAAM] is Aantal instappers";;;
