Station,Code,Lat,Lon,Straat,Huisnummer,Postcode,Plaats,Land
London St. Pancras Int.,STP,51.531437,-0.126136,Pancras Road,??,N1C 4QP,??,United Kingdom
Günzburg,MGZB,48.460226,10.278707,Bahnhofplatz,5,89312,Günzburg,Germany
Augsburg Hbf,MA,48.36543071,10.88547707,Bahnsteig D Gleis 7 + 6,??,86150,Augsburg,Germany
Berlin Ostbahnhof,BHF,52.5104989,13.4346995,??,??,10243,Berlin,Germany
Berlin-Spandau,BSPD,52.5343152,13.1989467,Klosterstraße,2,13581,Berlin,Germany
Berlin Gesundbrunnen,GSB,52.5486327,13.3904267,Brunnenstraße,109,13355,Berlin,Germany
Schwerte (Ruhr),ESRT,51.442281,7.55896,??,??,58239,Schwerte,Germany
Hagen Hbf,HAGEN,51.362747,7.460249,??,??,58089,Hagen,Germany
Wuppertal-Vohwinkel,WUPPV,51.23351,7.07237,??,??,42327,Wuppertal,Germany
Düsseldorf Hbf,DUSSEL,51.220146,6.793137,Konrad-Adenauer-Platz,14,40210,Düsseldorf,Germany
Ennepetal,EENP,51.304892,7.343285,??,??,58256,Ennepetal,Germany
Schwelm,KSWE,51.290526,7.289681,??,??,58332,Schwelm,Germany
Wuppertal Oberbarmen,KWO,51.273839,7.221483,Berliner Platz,15,42277,Wuppertal,Germany
Wuppertal Hbf,WUPPH,51.25433,7.14939,Distelbeck,55-57,42119,Wuppertal,Germany
Wuppertal-Barmen,KWBA,51.267082,7.195929,Winklerstraße,4,42283,Wuppertal,Germany
Hamm (Westf.),HAMM,51.678078,7.807821,??,??,59065,Hamm,Germany
Dortmund Hbf,EDO,51.517896,7.45929,Königswall,15,44137,Dortmund,Germany
Lünen Hbf,ELUE,51.61713,7.52949,Münsterstraße,50,44534,Lünen,Germany
Preussen,EPRN,51.58833,7.53933,??,??,44532,Lünen,Germany
Dortmund Derne,EDD,51.56754,7.52855,Molkenstraße,7B/C,44329,Dortmund,Germany
Dortmund Kirchderne,EDKD,51.547076,7.510099,??,??,44328,Dortmund,Germany
Oberhausen Hbf,OBERH,51.47512,6.852038,Unnamed Road,??,46049,Oberhausen,Germany
Oberhausen-Sterkrade,OBERHS,51.512222,6.843611,??,??,46145,Oberhausen,Germany
Wesel,WESEL,51.655833,6.627222,Franz-Etzel-Platz,19,46483,Wesel,Germany
Emmerich,EM,51.834283,6.255718,??,??,46446,Emmerich am Rhein,Germany
Duisburg Hbf,DUISB,51.42977857,6.775903702,Otto-Keller-Straße,17,47057,Duisburg,Germany
Unna,EUN,51.5385828,7.6953056,??,??,59423,Unna,Germany
